Algorithms,BackEnd,Bayesian,DistributedData,Business,ClassicalStats,DataWrangling
5.076312669,5.084634409,3.026538278,5.009036819,2.014866327,3.049200247,2.052296148
1.049139228,2.059126555,1.060548422,1.099353051,3.098137332,2.080318424,3.039579685
4.083571231,4.092731316,2.003080353,3.016623193,2.026602614,3.098706903,4.05450456
2.037433534,3.021282088,2.032095424,2.004764894,4.095653623,2.065615029,3.053125656
4.038951333,2.062657935,4.011123525,3.0675409,2.048098313,3.078392664,4.076510404
1.080989812,1.035994926,1.058269006,1.055035333,5.020521415,1.037182666,1.096299347
2.001753233,1.099568221,2.01577685,2.069431641,1.060559146,3.094995768,4.01572433
5.078883217,2.004257341,3.030774027,2.056902854,4.02822257,4.080227769,4.075515559
1.0397183,1.055804301,1.014649475,2.095930109,3.010060904,2.05477848,1.058663462
5.027902574,4.054470089,5.03779679,3.039187187,4.018086945,4.081453947,4.038454033
1.067072507,1.064965601,1.077211,3.017282697,4.042924026,1.028213787,1.076772499
2.014599962,2.096327814,2.048001926,3.021627139,4.079263954,2.009832634,2.009366549
3.059228991,1.04350513,1.08469455,1.013678031,5.065756262,3.012257869,1.010495513
3.022206312,1.095723743,4.059926287,1.056641329,5.019324783,4.065666969,3.032797638
2.065564203,2.07522537,1.091560974,2.022500966,5.048556157,2.054175904,1.018858763
1.086109828,1.061914669,1.018854284,1.029997487,3.094321002,1.013473641,1.015725023
3.057623147,3.008476381,2.057453527,2.00866372,4.083550368,5.03808113,4.050835844
1.020320937,1.030140909,1.004771759,1.051091891,4.088851846,4.089901225,3.095848783
3.086379435,2.076260396,2.053364777,2.01461334,2.066582138,3.011560472,5.038643542