What is important for Brussels Data Science community to organise?,,,,,,"If you think training programmes are important, what format should that take?",,,,,,Just curious...,,,,Do you have any comments on the format or the questions of this survey?,How can we improve our activities,"Are you willing to play an active role in the Brussels Data Science community - for example leading some of the hands-on activities, organising thematic meetup evenings or other? If so, give a short description of what your contribution could be"
Monthly 'Meetup' meetings,Data4Good projects,Hackathons,Participating in competitions such as Kaggle,Training programmes,Other (please specify),Bootcamps (6-12 weeks),Coaching/tutoring (e.g. jointly following MOOCs),Short courses in collaboration with a university,Custom in-company training,Hands-on sessions,Other (please specify),What is you favourite source of information on Data Science?,Who do you think is the most influential data scientist at this moment?,Who do you think is the most influential data scientist in Belgium?,What is the next MOOC you would like to follow?,Open-Ended Response,Open-Ended Response,Open-Ended Response
"Yes, probably",No opinion either way,"Yes, probably",No opinion either way,No opinion either way,,Probably not our role,Probably not our role,"Yes, probably",No opinion either way,"Yes, probably",,,,,Bioinformatics algoritms 2,,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,"Yes, definitely",,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,,,,,,,
"Yes, definitely","No, not our role","No, not our role","No, not our role","Yes, definitely",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, definitely",No opinion either way,"Yes, probably",No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,-,-,-,-,,,
"Yes, probably","Yes, definitely","Yes, definitely","Yes, probably","Yes, definitely",,"Yes, definitely","Yes, probably","Yes, probably","Yes, probably","Yes, definitely",,,,,,,,
,,,,,,,,,,,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,N/A,N/A,N/A,N/A,,,
Probably not our role,Probably not our role,Probably not our role,Probably not our role,Probably not our role,,Probably not our role,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
No opinion either way,No opinion either way,No opinion either way,"Yes, probably","Yes, probably",,"Yes, probably","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,Google,Geoffrey Hinton,Sander Dieleman,Deep Learning,,,I could give courses on machine learning and coaching on the task at hand.
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, probably",No opinion either way,"Yes, probably",No opinion either way,"Yes, probably",,No opinion either way,Probably not our role,"Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,"Yes, probably","Yes, probably",No opinion either way,"Yes, probably","Yes, definitely",,Internal and contractors,?,?,?,No,"When participating more, more input will follow","To early now, just joining."
,,,,,,,,,,,,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably",No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,Network in and out the company,We have some in our comapny :-),,,,,Always interested to help
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably","Yes, probably","Yes, definitely",,No opinion either way,No opinion either way,"Yes, probably","Yes, definitely","Yes, probably",,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably","Yes, probably",No opinion either way,,"Yes, probably","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,"techcrunch, mashable, bigdata.be","dj patil, the new US Gov data chief",don't know,business of big data,,,"yes, finding case studies and sharing business insights"
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,No opinion either way,,"Yes, definitely","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely",No opinion either way,No opinion either way,"Yes, probably",,"No, not our role","Yes, probably","Yes, definitely","Yes, probably","Yes, definitely",,Books,That does not exist,That does not exist,Programming with Python,No,,No
No opinion either way,"Yes, probably","Yes, definitely","Yes, definitely","Yes, probably",,"Yes, probably","Yes, definitely",No opinion either way,Probably not our role,"Yes, definitely",,LinkedIn,,,The Analytics Edge (edX),,,
"Yes, definitely","Yes, probably",No opinion either way,Probably not our role,"Yes, probably",,No opinion either way,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,,,,,,,
"Yes, probably","Yes, definitely",No opinion either way,"Yes, probably","Yes, probably",,No opinion either way,No opinion either way,"Yes, probably","Yes, definitely",No opinion either way,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Yes, definitely","Yes, definitely",No opinion either way,"Yes, definitely","Yes, probably",,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, probably","Yes, definitely",,LinkedIn Big Data Group,Bernard Marr,Mr.Aymen Cherif,No idea,No,Monthly Meetups,
,,,,,,,,,,,,,,,,,,
No opinion either way,Probably not our role,Probably not our role,Probably not our role,"Yes, probably",,"Yes, probably",No opinion either way,"Yes, probably",Probably not our role,Probably not our role,,,,,,,,
"Yes, definitely","Yes, definitely","Yes, definitely","No, not our role","No, not our role",,"No, not our role","No, not our role","No, not our role","No, not our role","No, not our role",,,,,,Too much.  Not acceptable to have to give personal details in order to get access,communicate less. I'm getting too many (linkedIn generated) emails and will unsubscribe if this stays like this.,perhaps
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,"Yes, definitely",,No opinion either way,"Yes, probably","Yes, definitely",Probably not our role,"Yes, probably",,Scientific conferences,Ben Schneidermann - even if he is not considered one,Too few in my domain to name one :-),N/A,,,
"Yes, definitely","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,Probably not our role,"Yes, probably","Yes, probably",Probably not our role,"Yes, probably",,"Multiples, too much in general, lots of filtering necessary to get to the real insights","Bernard Marr, but very generic",Philippe Van Impe,,No comment,"I am just amazed by what has been done so far!!! I Would feel bad if coming up with any critique... We are all overloaded with info, nad sometimes i have difficulties connecting the dots. Maybe a dedicated web site would be great but that carries a cost obviously...","For now, not really, in the future I may propose to take a more active role in presenting , driving specific topics."
No opinion either way,No opinion either way,"Yes, definitely","Yes, probably","Yes, definitely",,"Yes, probably","Yes, definitely","Yes, probably",No opinion either way,"Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,"No, not our role","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,Twitter,Gregory Piatetsky,Kristof De Wulf,,,,
"Yes, definitely","Yes, definitely",Probably not our role,Probably not our role,"Yes, definitely",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably",No opinion either way,"Yes, probably","Yes, probably",No opinion either way,On line stuff so that we aren't schedule bound,No opinion either way,"Yes, probably",Probably not our role,Probably not our role,"Yes, probably",,HortonWorks,Bernard Marr,No idea,Regression Models on Coursera,No,More on line collaboration,Sure. Check http://www.agilevisualization.com for a space where I am active.
"Yes, definitely","Yes, probably",No opinion either way,No opinion either way,"Yes, definitely",,No opinion either way,"Yes, definitely","Yes, definitely",No opinion either way,"Yes, probably",,,,,,,,
"Yes, probably",No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,The R-bloggers daily email,No idea,No idea,There are too many!,No.,No idea.,Maybe in the far future.
"Yes, definitely","Yes, probably","No, not our role","Yes, probably","Yes, probably",,Probably not our role,"Yes, probably","Yes, definitely",Probably not our role,"Yes, probably",,"kdnuggets, datasciencecentral","Vincent Granville, Andrew Ng, Gregory Piatetsky","Bart Baesens, Marco Saerens, Andrew Pease",,"good survey, thanks. I look forward to the results.",No comment. Good job so far.,Maybe but time is missing. Difficult as lead representative of my company.
No opinion either way,Probably not our role,Probably not our role,"Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably",Probably not our role,"Yes, probably",,newsletter,,,machine learning,,,
"Yes, probably",No opinion either way,Probably not our role,Probably not our role,"Yes, probably",,"Yes, probably",Probably not our role,"Yes, probably","No, not our role","Yes, probably",,"for every sub aspect, I turn to Stack Overflow (programming, databases, statistics, ...)",Larry Page,,statistics,,,data visualization (introduction to D3js or CartoDB)
,,,,,,,,,,,,,,,,,,
"Yes, definitely","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,Probably not our role,"Yes, probably","Yes, probably",Probably not our role,"Yes, probably",,,,,,,,
"Yes, definitely","Yes, probably",No opinion either way,Probably not our role,"Yes, definitely",,"Yes, probably","Yes, probably","Yes, probably",Probably not our role,"Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely","Yes, probably","Yes, probably",Probably not our role,,"No, not our role",No opinion either way,No opinion either way,"No, not our role",Probably not our role,,open source websites,Andrew Ng,NA,Text Mining and Analytics,good stuff,NA (just joined),no
No opinion either way,"Yes, definitely","Yes, definitely",No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,Under Agoria Academy umbrella,http://www.datainnovation.org/,???,Steven Noels,???,no,keep going,-
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, definitely",,"Yes, probably","Yes, probably","Yes, probably",Probably not our role,"Yes, probably",,,,,,,,
"Yes, definitely",No opinion either way,"Yes, probably",No opinion either way,"Yes, probably",,No opinion either way,No opinion either way,"Yes, probably",Probably not our role,"Yes, definitely",,Another word for it,,,,,,
"Yes, definitely","No, not our role",No opinion either way,"No, not our role","Yes, probably",,"Yes, probably","Yes, definitely","No, not our role","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,website,,,,,,
"Yes, definitely","Yes, definitely","Yes, probably",No opinion either way,"Yes, definitely",no idea,"Yes, definitely","Yes, definitely","Yes, definitely",No opinion either way,No opinion either way,no idea,internet,no idea,no idea,how to build startup,No,No idea,No for the moment
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,No opinion either way,No opinion either way,"Yes, probably",No opinion either way,"Yes, probably",,Data Science Central,,,,,,
"Yes, probably","Yes, probably",No opinion either way,"Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably",No opinion either way,"Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,Google,Pr. Efron and others,,,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably",No opinion either way,"Yes, probably","Yes, probably",,,,,,,,
"Yes, definitely","Yes, probably","Yes, definitely","Yes, probably",No opinion either way,,"Yes, definitely",Probably not our role,No opinion either way,No opinion either way,"Yes, definitely",,,Andrew Ng,,,,,
"Yes, definitely","Yes, probably","Yes, definitely","Yes, probably","No, not our role",,"No, not our role","No, not our role","No, not our role","No, not our role","No, not our role",,Google scholar,,,,,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,"Yes, definitely",,"Yes, probably",Probably not our role,"Yes, definitely","Yes, probably","Yes, probably",,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably",No opinion either way,Probably not our role,,"No, not our role","No, not our role","No, not our role","No, not our role","No, not our role",,,,,,,,
"Yes, probably","Yes, probably","Yes, definitely","Yes, definitely","Yes, probably",,No opinion either way,"Yes, probably","Yes, probably","Yes, probably","Yes, definitely",,,,,,,,
No opinion either way,"Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,No opinion either way,"Yes, probably",No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely","Yes, definitely","No, not our role","Yes, definitely","Yes, definitely",,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,,,,,,,
No opinion either way,No opinion either way,"Yes, probably",No opinion either way,"Yes, probably",,No opinion either way,No opinion either way,"Yes, probably","Yes, probably","Yes, probably",,Tweeter,Neo4j,,,,,I'm the author of www.popotojs.com I can do a presentation of it if some people are interested
,,,,,,,,,,,,,,,,,,
Probably not our role,No opinion either way,Probably not our role,"Yes, probably","Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,papers,/,/,algorithme,/,/,/
"Yes, definitely",Probably not our role,No opinion either way,Probably not our role,"Yes, definitely",,"Yes, probably",No opinion either way,"Yes, definitely","Yes, probably",No opinion either way,,AXA Belgium,,,,,,
Probably not our role,Probably not our role,Probably not our role,"Yes, definitely",Probably not our role,,"Yes, definitely","No, not our role","No, not our role","No, not our role","No, not our role",,,,,,,,
,,,,,,,,,,,,,,,,,,
"Yes, probably","No, not our role",Probably not our role,"Yes, probably","Yes, probably",,"Yes, probably","Yes, definitely","Yes, probably",Probably not our role,"Yes, definitely",,,,,Astronomy,,,
"Yes, probably","Yes, probably",Probably not our role,Probably not our role,"No, not our role",,"No, not our role","No, not our role","No, not our role","No, not our role","No, not our role",,,,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,hp university,/,/,/,no,/,/
"Yes, definitely",No opinion either way,No opinion either way,Probably not our role,No opinion either way,,"No, not our role","Yes, probably","Yes, probably","No, not our role","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,"Yes, probably",,Coursera,No idea,No idea,R grogramming,Not now,I'd like to have my very first experience with Data Sciences Meetup.,/
No opinion either way,"Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,"Yes, probably","Yes, probably","Yes, probably",No opinion either way,No opinion either way,,,,,,,,
"Yes, probably",No opinion either way,"Yes, definitely",No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely","Yes, probably","Yes, definitely","Yes, probably","Yes, definitely",Online meetups & easy to acces locations in Antwerp or Ghent. Our young talent are the ones with the most transportation troubles.,Probably not our role,"Yes, definitely","Yes, probably","No, not our role","Yes, probably",Properly distinguishing all aspects of data science. Visualisation/engineering/business/science+R&D/... This way people know where to lay there expertise.,"Our email newsletter, LinkedIn, blog.","I don't care about their names, only their results.","I don't care about their names, only their results.","Currently Data Mining (Illinois/Coursera), next Python and C for science, mongodb Hadoop mapR for engineering","Long, but a good incentive (data innovation summit pass).","Places with wifi & *accessible by public transport*. Public transport from Ghent, a major university city, is 1:30 hours and the main reason I can't get to every meetup.","YES! Connecting people, MOOC COACHING. Participating in hackathons where I can help, learn, or connect."
"Yes, probably",No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,datatau.com,-,-,-,-,-,"Definitely! As the leader of the Belgian Tableau Software meetup group, I'm up for a joint session on data science & visualisation.   Furthermore, I'm also happy to help organise hands-on activities. We have some cool big data + data science + visualisation example use cases which could be used in a hands-on session."
"Yes, probably","Yes, probably",Probably not our role,No opinion either way,"Yes, definitely",,No opinion either way,"Yes, probably",No opinion either way,"Yes, probably","Yes, definitely",,LinkedIn,,Bart Baessens,Data Innovation summit,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably",Probably not our role,,Probably not our role,"Yes, probably",Probably not our role,Probably not our role,"Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely",No opinion either way,No opinion either way,"Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, definitely","Yes, probably",,MOOCs,no idea - maybe Ray Kurzweil,no idea,Mining Massive Datasets (Stanford),,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","No, not our role","Yes, probably",,"No, not our role","Yes, probably","Yes, probably","No, not our role","Yes, probably",,,,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
No opinion either way,"No, not our role",No opinion either way,No opinion either way,"No, not our role",,No opinion either way,"No, not our role","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
,,,,,,,,,,,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Yes, probably",Probably not our role,"Yes, probably","Yes, probably","Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,The internet,,Daan Gerits / Wim Van Leuven,,,,
"Yes, probably",No opinion either way,"Yes, probably",No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely",No opinion either way,"No, not our role","No, not our role","Yes, probably",,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,google,Nobody in particular,Nobody in particular,,,,
"Yes, probably","Yes, definitely",No opinion either way,"Yes, probably","Yes, probably",,Probably not our role,No opinion either way,Probably not our role,"Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,No opinion either way,"Yes, probably","Yes, definitely",Probably not our role,"Yes, definitely",,,,,,,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,_,_,_,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,"Yes, probably","Yes, probably",,No opinion either way,No opinion either way,"Yes, probably","Yes, probably","Yes, probably",,none,none,none,none,no,no idea,no
"Yes, probably","No, not our role","No, not our role","No, not our role","Yes, probably",,No opinion either way,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,No opinion either way,"Yes, definitely","Yes, probably","Yes, probably",,,,,,,,
,,,,,,,,,,,,,,,,,,
"No, not our role","No, not our role","Yes, probably","No, not our role","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,books,no idea,no idea,no idea,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,Probably not our role,"Yes, probably","Yes, definitely","Yes, probably",No opinion either way,,,,,,Thanks for the job you are doing through this platform / very nice to have this kind of community in Belgium. I give you my full support to continue it.,,Why not - through my job i try to mix process optimization and data science. I'm considering as raw matter to exploit and to give us a real competitive advantage. I thus have a view on what data science can bring to process industries.
"Yes, definitely","Yes, probably",No opinion either way,No opinion either way,"Yes, definitely",,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,No opinion either way,,internet - news,?,?,?,,,No
"Yes, definitely","Yes, definitely","Yes, probably","Yes, probably",No opinion either way,,"Yes, definitely","Yes, definitely",No opinion either way,No opinion either way,"Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,"Yes, definitely","Yes, definitely","Yes, probably","Yes, definitely","Yes, definitely",,www.data.be,,,,,,I would like to help to organize the data science community but I don't know how. I'm curious and have no skills in data science. That's why I want to help to improve and learn with a passionate and professional.
"Yes, definitely","Yes, probably","Yes, probably",No opinion either way,No opinion either way,,"No, not our role",Probably not our role,"Yes, probably","No, not our role",No opinion either way,,Books; Web,,,,,,
"Yes, probably",No opinion either way,"Yes, probably",No opinion either way,"Yes, definitely",,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,reddit,Nate Silver,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,"Yes, definitely",,"Yes, definitely",No opinion either way,No opinion either way,No opinion either way,"Yes, definitely",,,,,,,,
"Yes, probably","Yes, definitely",Probably not our role,Probably not our role,"Yes, probably",,"Yes, probably",No opinion either way,No opinion either way,"Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably",No opinion either way,"Yes, definitely",,"Yes, probably","Yes, probably",Probably not our role,Probably not our role,"Yes, definitely",,N/A,N/A,N/A,N/A,It was good and clear.,,
"Yes, definitely","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,"Yes, probably",No opinion either way,"No, not our role","Yes, probably",,meetup.com,-,-,phyton programming,,,"No thank you, I would rather just participate for now."
"Yes, probably","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely","Yes, definitely","Yes, probably",No opinion either way,,No opinion either way,"Yes, definitely",No opinion either way,No opinion either way,"Yes, definitely",,Social networks,Andrew Ng,,Machine learning,,Some forum where people can share the projects they are working on and get feedback from others,"Yes! I feel like I have a unique profile in this community, I just finished studying at uni so I am quite young and I am female (which in itself is relatively rare in data science). Every day I am working hard to improve my technical skills and it is my dream to become a technically skilled data scientist. In that sense I believe I could contribute in opening young girls' eyes that they too can find something interesting for them in data science. Whether I am already skilled enough to guide hands-on trainings I am not sure, but I would love to for example to write a blog and reach out to people in that way."
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,"Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably",No opinion either way,"Yes, probably","Yes, definitely",,"Yes, probably","Yes, probably","Yes, probably",No opinion either way,No opinion either way,,,,,,,,
No opinion either way,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,Probably not our role,No opinion either way,"Yes, probably",Probably not our role,No opinion either way,,bloomberg,,,,,,no
"Yes, definitely",No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","No, not our role","Yes, probably",,kdnuggets,,,,,,No
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,not known,not known,not known,not known,none,none,no
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely",No opinion either way,"Yes, probably","Yes, probably","No, not our role",,"Yes, definitely","Yes, definitely","Yes, definitely","No, not our role","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,Present cases to transfer knowledge about a certain topic
"Yes, definitely","Yes, probably",No opinion either way,"Yes, probably","Yes, probably",,No opinion either way,No opinion either way,"Yes, probably",No opinion either way,"Yes, probably",,internet,,,,,,
"Yes, definitely",No opinion either way,"Yes, probably",Probably not our role,"Yes, probably",,Probably not our role,Probably not our role,No opinion either way,"No, not our role","Yes, probably",,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,,,,,,,
No opinion either way,"Yes, probably","Yes, probably","Yes, probably",No opinion either way,,No opinion either way,"Yes, probably","Yes, probably","Yes, definitely","No, not our role",,"KDD, Udacity, Coursera",Andrew Ng,,Neural Networks,,,
"Yes, definitely","Yes, definitely","Yes, probably",No opinion either way,No opinion either way,,"No, not our role","No, not our role","No, not our role","No, not our role","No, not our role",,,,,,,,
"No, not our role","No, not our role","No, not our role","No, not our role","Yes, probably",,"No, not our role","No, not our role","No, not our role","No, not our role","No, not our role",,rbloggers,hadley wikham,?,?,-,-,no plans at the moment
,,,,,,,,,,,,,,,,,,
"Yes, probably",No opinion either way,"No, not our role",No opinion either way,"Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","Yes, probably",No opinion either way,,-,-,-,-,No,-,No
"Yes, definitely",No opinion either way,Probably not our role,No opinion either way,"No, not our role",,"Yes, probably","Yes, definitely",Probably not our role,Probably not our role,"Yes, definitely",,,,,,,,
"Yes, definitely","Yes, probably",Probably not our role,No opinion either way,"Yes, definitely",,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,,,,,,,
"Yes, definitely",No opinion either way,No opinion either way,Probably not our role,"Yes, probably",,No opinion either way,"Yes, definitely","Yes, probably","Yes, probably","Yes, definitely",,,,,,,,
No opinion either way,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
No opinion either way,"Yes, probably","Yes, definitely",No opinion either way,"Yes, probably",,No opinion either way,"Yes, probably","Yes, definitely",Probably not our role,"Yes, definitely",,Books,I have no idea,I have no idea,CS190.1x Scalable Machine Learning,,,
