skill,1,2,3,4,5
"Algorithms (ex: computational complexity, CS theory)",55,60,59,50,17
"Back-End Programming (ex: JAVA/Rails/Objective C)",85,67,35,36,18
"Bayesian/Monte-Carlo Statistics (ex: MCMC, BUGS)",88,74,84,24,7
"Big and Distributed Data (ex: Hadoop, Map/Reduce)",56,87,61,26,11
"Business (ex: management, business development, budgeting)",38,54,43,73,33
"Classical Statistics (ex: general linear model, ANOVA)",33,51,70,58,29
"Data Manipulation (ex: regexes, Python, R, SAS, web scraping)",34,45,53,70,39
"Front-End Programming (ex: java script, HTML, CSS)",67,72,50,40,12
"Graphical Models (ex: social networks, Bayes networks)",81,73,46,29,12
"Machine Learning (ex: decision trees, neural nets, SVM, clustering)",51,71,42,53,24
"Math (ex: linear algebra, real analysis, calculus)",30,45,77,56,33
"Optimization (ex: linear, integer, convex, global)",54,72,66,38,11
"Product Development (ex: design, project management)",50,48,57,55,31
"Science (ex: experimental design, technical writing/publishing)",60,51,47,46,37
"Simulation (ex: discrete, agent-based, continuous)",96,67,55,20,8
"Spatial Statistics (ex: geographic covariates, GIS)",123,70,25,18,5
"Structured Data (ex: RDBMS, SQL, JSON, XML, ETL)",40,39,53,66,43
"Surveys and Marketing (ex: multinomial modeling)",74,81,50,25,11
"Systems Administration (ex: *nix, DBA, cloud tech.)",101,54,43,32,11
"Temporal Statistics (ex: forecasting, time-series analysis)",61,65,67,34,14
"Unstructured Data (ex: noSQL, text mining)",69,61,53,41,17
"Visualization (ex: statistical graphics, mapping, web-based data‐viz)",42,63,63,48,25